,_id,deleted,endTime,exercise,initialStartTime,metric,removed,rpe,setID,setNumber,startTime,tags,userID,weight,workoutID
297,00a9a0bb-8d00-4083-91fd-02480411df00,0.0,,bench,2018-05-16T17:36:17.095Z,kgs,0.0,< 5.5,00a9a0bb-8d00-4083-91fd-02480411df00,18.0,,"['adam', '2 rpe']",5aa35456880e87b3f32ddf7c,42.5,21b51e5a-6a80-48d8-827b-b2309f4cd405
336,00c3807f-5eb3-4b25-acec-de27850a13a7,0.0,,squat,2018-05-10T22:14:36.197Z,kgs,0.0,< 5.5,00c3807f-5eb3-4b25-acec-de27850a13a7,1.0,,"['elisa', '5.5 rpe']",5aa35456880e87b3f32ddf7c,75,0ebb7ef9-06c9-4a3f-aee6-45c16d65e3f5
424,00fef681-4b84-4844-bfda-93c3a3bd66e2,0.0,,squat,2018-05-24T23:27:19.063Z,kgs,0.0,7.5,00fef681-4b84-4844-bfda-93c3a3bd66e2,8.0,,['matt'],5aa35456880e87b3f32ddf7c,177,7e166282-3e2e-4b31-b419-8f70734fc65e
619,016332c3-9fe0-4c21-a8b7-cfdd191db62f,0.0,,bench,2018-05-13T20:03:59.539Z,kgs,0.0,10,016332c3-9fe0-4c21-a8b7-cfdd191db62f,13.0,,['chase'],5aa35456880e87b3f32ddf7c,82,5fbdf0dd-adc7-4221-9ced-8514e5ee9d04
653,017567f4-b779-437d-a993-b7098573539f,0.0,,bench,2018-05-19T16:43:46.816Z,kgs,0.0,< 5.5,017567f4-b779-437d-a993-b7098573539f,44.0,,"['elisa', '5.5 rpe']",5aa35456880e87b3f32ddf7c,35,870ca10a-1f71-4cbf-a3f8-6ef0f0cc56c1
1352,03026db2-8f5c-4ce3-b7b8-94319be5d089,0.0,,bench,2018-05-15T00:12:13.850Z,kgs,0.0,6,03026db2-8f5c-4ce3-b7b8-94319be5d089,9.0,,['mimi'],5aa35456880e87b3f32ddf7c,37.5,8ece7813-09a3-4117-bcae-c1487e37dfb4
1357,03083495-6a1a-4263-a33a-15cd7f9a1496,1.0,,squat,2018-05-24T22:55:49.783Z,kgs,,,03083495-6a1a-4263-a33a-15cd7f9a1496,2.0,,['matt'],5aa35456880e87b3f32ddf7c,,500da55e-ed20-4dd5-bad2-5a12c01aa1a9
1543,0375f15d-149a-476a-92a2-e38d55c42421,0.0,,squat,2018-05-11T00:58:25.135Z,kgs,0.0,7,0375f15d-149a-476a-92a2-e38d55c42421,10.0,,['harr'],5aa35456880e87b3f32ddf7c,115,0731b594-a678-4294-9b68-9285f8a1f0a5
1590,038efb8b-917e-4fd6-af35-914a680a8f3b,0.0,,bench,2018-05-23T23:42:46.326Z,kgs,0.0,6,038efb8b-917e-4fd6-af35-914a680a8f3b,8.0,,['chase'],5aa35456880e87b3f32ddf7c,88,ea75c10c-b19e-4984-8b6f-66a0227d0674
1621,039fcf8b-310f-4e13-97af-1c0830d9524e,0.0,,bench,2018-05-11T01:48:33.347Z,kgs,0.0,< 5.5,039fcf8b-310f-4e13-97af-1c0830d9524e,15.0,,"['harr', '5 rpe']",5aa35456880e87b3f32ddf7c,62.5,0731b594-a678-4294-9b68-9285f8a1f0a5
1700,03ce6d6f-ca67-415d-806d-d2ebe2151dc3,0.0,,squat,2018-05-17T22:37:45.060Z,kgs,0.0,7,03ce6d6f-ca67-415d-806d-d2ebe2151dc3,7.0,,['elisa'],5aa35456880e87b3f32ddf7c,87.5,069415c7-5299-4dd3-a548-e201d5fa7c81
1937,045a2e3e-fb17-4c76-80d5-c539b8fa59c8,0.0,,squat,2018-05-24T23:26:15.842Z,kgs,0.0,7,045a2e3e-fb17-4c76-80d5-c539b8fa59c8,7.0,,['mimi '],5aa35456880e87b3f32ddf7c,80,7e166282-3e2e-4b31-b419-8f70734fc65e
2211,04f4106b-7c3b-4d9f-8b5d-e63490720150,0.0,,squat,2018-05-15T23:28:23.218Z,kgs,0.0,10,04f4106b-7c3b-4d9f-8b5d-e63490720150,24.0,,['chase'],5aa35456880e87b3f32ddf7c,170,c1d046a3-bf4e-4ba8-a43a-2568a3b21620
2381,05595a81-4f30-4cc8-b87c-c6cadc579a67,0.0,,bench,2018-05-16T17:45:51.412Z,kgs,0.0,< 5.5,05595a81-4f30-4cc8-b87c-c6cadc579a67,22.0,,"['adam', '5.5 rpe']",5aa35456880e87b3f32ddf7c,57.5,21b51e5a-6a80-48d8-827b-b2309f4cd405
